c,method_prior,mean_performance,std_performance,min_performance,max_performance,mean_prior_error,count
0.1,auto,0.907005386568254,0.1363633782349263,0.5647517500707215,0.999842353948498,0.0,18
0.1,0.1,0.8893777426996203,0.13422069449801236,0.5634304768209313,0.9898644163567683,0.4122924209829651,18
0.1,0.2,0.9027454564460994,0.1341416941122264,0.5627933287561449,0.9928447509111135,0.31229242098296506,18
0.1,0.3,0.9014847557820835,0.13800924880266965,0.5613298045286729,0.9989085801732934,0.21229242098296508,18
0.1,0.5,0.9084956908494234,0.13674974022095915,0.5618595625282152,0.999852250531196,0.0400261769259128,18
0.1,0.7,0.9079510106432083,0.13698495886352663,0.5623718470275079,0.9997673695884803,0.1877075790170349,18
0.1,0.9,0.9099079710951402,0.13742228777674015,0.5603068257947463,0.9999080965916375,0.3877075790170349,18
0.1,1.0,0.888634010694313,0.16307024271833692,0.34486868089850153,0.999904894065753,0.4877075790170349,126
0.5,auto,0.9124883306981347,0.13786688118542292,0.5560834839630038,0.9999983709959079,0.0,18
0.5,0.1,0.9076502484286425,0.13281301326690406,0.5647902283590016,0.994135394995265,0.48813088070702715,18
0.5,0.2,0.9094545762557953,0.13634025802671781,0.5570769572045309,0.9966809255855072,0.3881308807070273,18
0.5,0.3,0.9071582294703641,0.138860833739926,0.5599725866163292,1.0,0.2881308807070273,18
0.5,0.5,0.9128901265194318,0.13783950350541277,0.5553034694116866,0.9999805406207395,0.09027155348990185,18
0.5,0.7,0.9149553024977184,0.13817369108896574,0.5581357084057319,0.9999806755510979,0.11186911929297268,18
0.5,0.9,0.9153987429109033,0.13757741173068863,0.5583815414882243,1.0,0.3118691192929728,18
0.5,1.0,0.9030227209990498,0.14047749851566618,0.4407387546628792,1.0,0.41186911929297276,126
0.9,auto,0.915619152964819,0.13780912058923658,0.5575110583240599,1.0,0.0,18
0.9,0.1,0.9086765086870439,0.13373518621793987,0.5647902283590016,0.9940647358577381,0.5434328274073921,18
0.9,0.2,0.9118822486004431,0.13441921979578672,0.5646934537001704,0.9985242434447212,0.443432827407392,18
0.9,0.3,0.9128861411764306,0.13590532909118505,0.5595647793580476,0.9999404670408207,0.343432827407392,18
0.9,0.5,0.9172693562349823,0.13649064414821435,0.561203009020399,0.9999983709959079,0.14343282740739194,18
0.9,0.7,0.918317987934429,0.13764682983361048,0.5593147812286485,1.0,0.06039321493756348,18
0.9,0.9,0.9171688349103595,0.13637677999775366,0.5633950408804544,1.0,0.25656717259260803,18
0.9,1.0,0.8997226739325944,0.14202949685510521,0.4397938796135715,1.0,0.3565671725926081,126
