dataset,seed,c,method,true_prior,method_prior,prior_error,baseline_f1,baseline_ap,baseline_max_f1,test_f1,test_ap,test_max_f1,f1_drop_abs,f1_drop_rel_pct,ap_drop_abs,ap_drop_rel_pct,max_f1_drop_abs,max_f1_drop_rel_pct,error_bin
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.5,0.08806626098715353,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.8683747802059784,0.9523969912333544,0.8845392054060351,-0.001131455647873758,-0.13046576616202613,-0.00179152119389403,-0.18846106511670532,-0.0014528727784182127,-0.16452216784911622,"(0.0, 0.1]"
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.9,0.3119337390128465,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.8765869838728125,0.9476651413268931,0.87801593536079,-0.00934365931470793,-1.0773976633915172,0.0029403287125673305,0.3093111501289042,0.005070397266826898,0.5741677885264024,"(0.3, 0.5]"
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.3,0.28806626098715354,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.7605714285714286,0.9493912441711093,0.8884624610218277,0.10667189598667604,12.300111510345687,0.001214225868351071,0.1277318410865727,-0.005376128394210755,-0.6087885403247183,"(0.2, 0.3]"
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.2,0.3880662609871535,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.5166666666666667,0.9485956293720839,0.8876268728854518,0.3505766578914379,40.424255565192254,0.002009840667376528,0.2114274250171417,-0.004540540257834902,-0.5141671986163072,"(0.3, 0.5]"
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.1,0.48806626098715356,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.29918114639504695,0.9464327853706445,0.8857210738892849,0.5680621781630577,65.5020525470759,0.004172684668815929,0.438950205982164,-0.002634741261667961,-0.29835602299814873,"(0.3, 0.5]"
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.7,0.11193373901284642,0.8672433245581046,0.9506054700394604,0.8830863326276169,0.8762278978388998,0.9517136938576982,0.8858131487889274,-0.00898457328079516,-1.0359922096112024,-0.0011082238182378301,-0.11658083749421587,-0.0027268161613104303,-0.30878251203331486,"(0.1, 0.2]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.1,0.5606558518415373,0.891093960553718,0.9563718407168041,0.8977861516721619,0.298781705612143,0.9537211461514338,0.8936893203883495,0.592312254941575,66.47023559373216,0.0026506945653703706,0.27716150272509754,0.004096831283812441,0.4563259609409136,"(0.5, 1.0]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.7,0.039344148158462655,0.891093960553718,0.9563718407168041,0.8977861516721619,0.8928225024248303,0.955817684980292,0.8973230220107079,-0.0017285418711122658,-0.19397975383405863,0.0005541557365121852,0.05794354380999376,0.00046312966145400924,0.05158574350822989,"(0.0, 0.1]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.9,0.23934414815846272,0.891093960553718,0.9563718407168041,0.8977861516721619,0.904570047196961,0.9602527381703153,0.9052121771217713,-0.013476086643242957,-1.5123081560185903,-0.0038808974535111673,-0.4057937810676673,-0.0074260254496093525,-0.8271485849696043,"(0.2, 0.3]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.5,0.1606558518415373,0.891093960553718,0.9563718407168041,0.8977861516721619,0.9003533568904594,0.9552221731632358,0.9021463189476113,-0.009259396336741332,-1.0391043758155003,0.0011496675535683787,0.12021135552325533,-0.004360167275449411,-0.48565766662009974,"(0.1, 0.2]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.3,0.3606558518415373,0.891093960553718,0.9563718407168041,0.8977861516721619,0.6677924470371508,0.9322835798609165,0.8719159485302796,0.22330151351656724,25.059255634255408,0.024088260855887667,2.518712892867426,0.025870203141882264,2.88155515583505,"(0.3, 0.5]"
20News,42,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.2,0.4606558518415373,0.891093960553718,0.9563718407168041,0.8977861516721619,0.515625,0.9654261102781903,0.9076163610719323,0.37546896055371803,42.135731715699755,-0.009054269561386108,-0.9467310909739772,-0.009830209399770418,-1.0949388539198637,"(0.3, 0.5]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.1,0.6114781270348665,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.29718394248052726,0.9563350179160685,0.8997039668442867,0.613558376425057,67.36904211965843,0.010612522790508727,1.0975282881172481,0.015647211375800163,1.7094216676736447,"(0.5, 1.0]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.7,0.011478127034866503,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.9133929582248387,0.9661869763308647,0.9174376390678066,-0.0026506393192544664,-0.2910416332074776,0.0007605643757124803,0.0786562190495581,-0.0020864608477197955,-0.227941023878611,"(0.0, 0.1]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.9,0.18852187296513356,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.9133858267716536,0.9659056975499025,0.9178338001867414,-0.0026435078660693723,-0.2902585957843716,0.00104184315667466,0.10774557179320755,-0.002482621966654608,-0.27122071022862515,"(0.1, 0.2]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.5,0.21147812703486646,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.9168707007112044,0.9702827179884237,0.9177793394237526,-0.006128381805620142,-0.6728996422373852,-0.003335177281846513,-0.3449181203159585,-0.002428161203665735,-0.26527099778112795,"(0.2, 0.3]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.3,0.41147812703486647,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.6859072766349401,0.9749624604338427,0.9230056732661803,0.2248350422706441,24.687009443112583,-0.008014919727265535,-0.8288887855703937,-0.007654495046093501,-0.8362358871900699,"(0.3, 0.5]"
20News,42,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.2,0.5114781270348665,0.9107423189055842,0.9669475407065772,0.9153511782200868,0.5204861111111111,0.9729685530193343,0.9190825474444057,0.3902562077944731,42.85034303264111,-0.00602101231275709,-0.6226824164997988,-0.0037313692243188257,-0.4076434611221592,"(0.5, 1.0]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.3,0.28806626098715354,0.6530170292351609,0.565703356401712,0.7219959266802444,0.39146453791832975,0.5657450808354155,0.7218734091294756,0.26155249131683117,40.052935774610916,-4.172443370353829e-05,-0.007375673704489977,0.0001225175507687526,0.016969285593076876,"(0.2, 0.3]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.2,0.3880662609871535,0.6530170292351609,0.565703356401712,0.7219959266802444,0.30243055555555554,0.5668831534954533,0.7218734091294756,0.3505864736796054,53.6871870080059,-0.001179797093741275,-0.20855402047561628,0.0001225175507687526,0.016969285593076876,"(0.3, 0.5]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.9,0.3119337390128465,0.6530170292351609,0.565703356401712,0.7219959266802444,0.6926493247530137,0.5657374616766615,0.7219959266802444,-0.039632295517852745,-6.069105971749564,-3.41052749495141e-05,-0.006028826692217038,0.0,0.0,"(0.3, 0.5]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.5,0.08806626098715353,0.6530170292351609,0.565703356401712,0.7219959266802444,0.6858500045674614,0.5663706055865598,0.7218734091294756,-0.03283297533230045,-5.027889605077484,-0.0006672491848478401,-0.11795036697184087,0.0001225175507687526,0.016969285593076876,"(0.0, 0.1]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.7,0.11193373901284642,0.6530170292351609,0.565703356401712,0.7219959266802444,0.6564423170850835,0.5633451820478533,0.7218874649919377,-0.003425287849922576,-0.5245326992367116,0.0023581743538586553,0.416857055411227,0.00010846168830669356,0.015022479254890421,"(0.1, 0.2]"
20News,456,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.1,0.48806626098715356,0.6530170292351609,0.565703356401712,0.7219959266802444,0.17695226682644297,0.5658159853314727,0.7218734091294756,0.476064762408718,72.90235033630036,-0.00011262892976071637,-0.019909538892807516,0.0001225175507687526,0.016969285593076876,"(0.3, 0.5]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.9,0.23934414815846272,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.7059856064595401,0.5583815414882243,0.7218965077746622,-0.10295202032736239,-17.072352634235624,-0.0022980575252204982,-0.4132576477263957,3.8154932168521505e-05,0.005285094917795321,"(0.2, 0.3]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.5,0.1606558518415373,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.6031746031746031,0.5598342590260849,0.7220100161276632,-0.00014101704242541757,-0.023384608364832988,-0.00375077506308108,-0.6744985548483974,-7.535342083253571e-05,-0.010437706447007915,"(0.1, 0.2]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.3,0.3606558518415373,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.38962235185753763,0.5599725866163292,0.721948735359022,0.2134112342746401,35.389609995596985,-0.003889102653325427,-0.6993738827863064,-1.407265219133258e-05,-0.0019492972035126288,"(0.3, 0.5]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.2,0.4606558518415373,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.2934027777777778,0.5570769572045309,0.7219959266802444,0.30963080835439993,51.34553289815148,-0.0009934732415270986,-0.17865541239365318,-6.126397341366108e-05,-0.008486082824165441,"(0.3, 0.5]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.1,0.5606558518415373,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.7218734091294756,0.5647902283590016,0.7218734091294756,-0.1188398229972979,-19.706999034586048,-0.008706744395997834,-1.5657261269383598,6.125357735509152e-05,0.008484642796541531,"(0.5, 1.0]"
20News,456,0.5,vpu_nomixup_mean_prior,0.6606558518415373,0.7,0.039344148158462655,0.6030335861321777,0.5560834839630038,0.7219346627068307,0.62019735460844,0.5581357084057319,0.7219628151795568,-0.01716376847626233,-2.846237568018349,-0.0020522244427281233,-0.36904970241206764,-2.815247272613952e-05,-0.003899587342237356,"(0.0, 0.1]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.7,0.011478127034866503,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7216092344253947,0.5600724950233166,0.7218734091294756,-0.09787054723097044,-15.690953477840539,-0.0025614366992566806,-0.4594414157374104,6.125357735509152e-05,0.008484642796541531,"(0.0, 0.1]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.1,0.6114781270348665,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7218734091294756,0.5647902283590016,0.7218734091294756,-0.09813472193505135,-15.73330690396345,-0.007279170034941718,-1.3056548253632334,6.125357735509152e-05,0.008484642796541531,"(0.5, 1.0]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.3,0.41147812703486647,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7218734091294756,0.5642225248402268,0.7218734091294756,-0.09813472193505135,-15.73330690396345,-0.006711466516166942,-1.2038266175997216,6.125357735509152e-05,0.008484642796541531,"(0.3, 0.5]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.2,0.5114781270348665,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7218734091294756,0.5661123472874671,0.7218734091294756,-0.09813472193505135,-15.73330690396345,-0.008601288963407172,-1.5428014987296577,6.125357735509152e-05,0.008484642796541531,"(0.5, 1.0]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.9,0.18852187296513356,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7219959266802444,0.5633950408804544,0.7219959266802444,-0.0982572394858201,-15.752949352521489,-0.005883982556394551,-1.0554019455833676,-6.126397341366108e-05,-0.008486082824165441,"(0.1, 0.2]"
20News,456,0.9,vpu_nomixup_mean_prior,0.7114781270348665,0.5,0.21147812703486646,0.6237386871944243,0.5575110583240599,0.7219346627068307,0.7218734091294756,0.5645841852868607,0.7218734091294756,-0.09813472193505135,-15.73330690396345,-0.007073126962800824,-1.2686971598488879,6.125357735509152e-05,0.008484642796541531,"(0.2, 0.3]"
